thr_mid,thr_long,no_bear,rule,val_sharpe,val_psr0,val_dd,val_ret,n_trades_val,ho_sharpe,ho_psr0,ho_dd,ho_ret,n_trades_ho,n_trades_total
0.3,0.4,0.0,OR,1.1057960335250823,0.9423777058036529,-0.24856327239836762,0.43772443710746733,109,0.979700545061782,0.8546908765165089,-0.16273711321483642,0.20464627610759645,80,189
0.3,0.4,-0.1,OR,1.0263366592520689,0.9275101914752975,-0.22760933004626838,0.43369880261390636,144,0.8799915815671454,0.8271938067914526,-0.14298742413656118,0.21568055028681554,115,259
0.3,0.4,-0.05,OR,1.0022451418355391,0.9228385469550153,-0.20979513365942914,0.4099553331759065,135,1.1269264142089113,0.8862487017461647,-0.10717193976447681,0.28377038682527655,108,243
0.3,0.4,off,OR,0.8626434426863522,0.889161254743554,-0.28605676926792056,0.356495191753583,158,-0.14095733133174246,0.4397956422511304,-0.36328297371763807,-0.08116909026467523,139,297
0.35,0.4,0.0,OR,0.7714078001929499,0.8632437482351442,-0.26255728315522997,0.2680806551660255,99,0.9192956923497243,0.8392319225932907,-0.16261801420119903,0.18941015686165175,79,178
0.3,0.45,0.0,OR,0.6875645007936831,0.8355936231970467,-0.2524665885977635,0.23580102506285905,100,0.9196229518161355,0.8399809418943537,-0.1511240486679466,0.1813542032031803,73,173
0.5,0.4,-0.1,LONG,0.6741270957668979,0.8300359904176722,-0.19728028764718442,0.22748687732757134,114,0.9791163764067101,0.8527785118812248,-0.14298742413656118,0.23602352474631294,103,217
0.3,0.4,-0.1,LONG,0.6741270957668979,0.8300359904176722,-0.19728028764718442,0.22748687732757134,114,0.9791163764067101,0.8527785118812248,-0.14298742413656118,0.23602352474631294,103,217
0.35,0.4,-0.1,LONG,0.6741270957668979,0.8300359904176722,-0.19728028764718442,0.22748687732757134,114,0.9791163764067101,0.8527785118812248,-0.14298742413656118,0.23602352474631294,103,217
0.45,0.4,-0.1,LONG,0.6741270957668979,0.8300359904176722,-0.19728028764718442,0.22748687732757134,114,0.9791163764067101,0.8527785118812248,-0.14298742413656118,0.23602352474631294,103,217
