freq_days,n_retrains,val_sharpe,ho_sharpe,val_ret,ho_ret,val_dd,ho_dd,n_trades_total,n_trades_val,n_trades_ho,final_1k
30,39,-0.5287027368315703,1.1887871442324527,-0.17632296733946373,0.26097496951585275,-0.2764506390042173,-0.11121965248628518,175,94,81,1038.6361211500277
60,20,-0.5061849786885534,1.2732467943210843,-0.16564030586931688,0.28737665115407474,-0.2284388988974403,-0.1119326850847453,170,87,83,1074.135188887897
90,13,0.004321692252441414,1.3560795947668975,-0.02355577091330363,0.3198445326454482,-0.2159181186895841,-0.10491168846324928,180,95,85,1288.7545771932757
180,7,0.06042406498007048,0.8011352117314539,-0.006052179099751309,0.1602923177480644,-0.22230970612196566,-0.1417173394386242,180,97,83,1153.2700208329875
