config,val_sharpe,ho_sharpe,n_trades_total,n_trades_val,n_trades_ho,final_dollar,val_dd,ho_dd,full_ret
N=1 (seed=42 baseline),-0.39523456601258994,0.4511554625729779,158,84,74,903.9745876365039,-0.2638318338624518,-0.12364119344571367,-0.09602541236349615
"N=3 (seeds[42,123,456])",-0.5960774365821285,0.5909284157048748,150,77,73,868.6776222569878,-0.2833735970169018,-0.09698223379904158,-0.13132237774301225
N=5 (seeds base),-0.6635876976217875,0.41898954321820364,154,82,72,818.3443821738326,-0.3038989706068661,-0.1263952127636777,-0.18165561782616735
N=10 (seeds base+extra),-0.5444877977788019,0.559647521476202,148,79,69,872.1802326205044,-0.2718191270502036,-0.10210011432131005,-0.12781976737949563
single seed=42,-0.39523456601258994,0.4511554625729779,158,84,74,903.9745876365039,-0.2638318338624518,-0.12364119344571367,-0.09602541236349615
single seed=123,-0.8272103290027678,-0.003117913523963972,171,90,81,683.138007353225,-0.4069982578538266,-0.14343911128089815,-0.31686199264677495
single seed=456,-0.9815412264846501,1.1272175742741057,152,82,70,816.5296405702941,-0.36360800761679934,-0.1308658408570642,-0.1834703594297059
single seed=789,-0.12235920727056288,0.3332563369218047,159,89,70,976.8739773087563,-0.2773948836832494,-0.10266856302036886,-0.023126022691243753
single seed=999,-0.5793697651574419,1.0192778928737984,168,93,75,929.3395108573778,-0.27615810325720214,-0.11278162902305466,-0.07066048914262213
