config,n_features,val_sharpe,ho_sharpe,val_psr0,ho_psr0,val_dd,ho_dd,n_trades_val,n_trades_ho,final_ho,final_total
all_features,60,0.003155518147987054,1.3560795947668975,0.5024395022613105,0.9279705054094541,-0.2159181186895841,-0.10491168846324928,95,85,1288.7545771932757,1288.7545771932757
top_40,40,-0.3364460022190772,1.2374100614913017,0.25777167258935374,0.9089167420844516,-0.2631233550997748,-0.09768505281190065,90,78,1063.423071205387,1063.423071205387
top_30,30,-0.5128723038696971,1.304499833026094,0.15827258439043285,0.921157406892478,-0.22693361358603925,-0.0941660900373501,75,62,994.1751717433633,994.1751717433633
top_20,20,0.22137182397901708,0.9408237625667846,0.666521468676757,0.8424287851717387,-0.18616693690233843,-0.11423402175226283,65,70,1266.422929926821,1266.422929926821
top_15,15,-0.5353238861787688,0.4542463947047217,0.15268021772485896,0.685989921314871,-0.247331151638279,-0.09756033695877375,62,61,875.9993831475705,875.9993831475705
